factual_id,brand,name,size,category,upc,ean13,upc_e,ingredients,servings,serving_size,calories,fat_calories,total_fat,sat_fat,trans_fat,cholesterol,sodium,potassium,total_carbs,dietary_fiber,sugars,protein,manufacturer,avgPrice,image_urls,userName
a433c2c3-e146-4135-ae81-9a1ebc409cb0,L'Oreal,Conditioner Color-Treated Or Highlighted Hair,11 fl oz; 325 ml,Hair Care,71249159248,71249159248,,Aqua/Water#Cetyl Alcohol#Cetyl Esters#Cetearyl Alcohol#Cetrimonium Chloride#Amodimethicone#Parfum/Fragrance#Myristyl Alcohol#Behentrimonium Chloride#Dipalmitoylethyl Hydroxyethylmonium Methosulfate#Hydroxyethylcellulose#Trideceth-5#Methylparaben#Benzophenone-3#Ethylhexyl Methoxycinnamate#Hexyl Cinnamal#Trideceth-10#Tocopherol#Benzyl Salicylate#Butylphenyl Methylpropional#Linalool#Chlorhexidine#Dihydrochloride#Amyl Cinnamal#Hydroxycitronellal#Citric Acid,,,,,,,,,,,,,,,L'Oréal Group,6,http://ecx.images-amazon.com/images/I/21N6eD63BzL._SL500_AA300_.jpg,null
8e562887-36e0-41c3-bced-0fc3b2899703,Maybelline,Color Sensational Lipcolor Pink & Proper,0.15 oz,Lip Makeup,41554248913,41554248913,,,,,,,,,,,,,,,,,L'Oréal Group,5.23,http://ct.mywebgrocer.com/legacy/productimagesroot/DJ/4/878254.jpg#http://ecx.images-amazon.com/images/I/319Cb49PvaL._AA300_.jpg#http://i.walmartimages.com/i/p/00/04/15/54/24/0004155424891_300X300.jpg#http://img01.static-nextag.com/image/Maybelline-New-York-Colorsensational/10/000/010/125/739/1012573931.jpg#http://pics2.ds-static.com/prodimg/382047/300.JPG,null
a7ca8531-676a-4f58-add7-248403d41775,Maybelline,Expertwear Blush #100 Mocha Velvet,100 mocha velvet,Blush,41554512298,41554512298,,,,,,,,,,,,,,,,,L'Oréal Group,5.08,http://ecx.images-amazon.com/images/I/21sTB79QT%2BL._SL500_AA300_.jpg#http://www.beautyencounter.com/products/large/041554512298.jpg,null
32c4bbf6-64c3-4658-9635-cb624291dd2d,L'Oreal,Paris Infallible Never Fail Lipcolour Compact French Roast,,Lip Makeup,7.42E+11,7.42E+11,,,,,,,,,,,,,,,,,L'Oréal Group,3.46,http://ecx.images-amazon.com/images/I/41LX%2BuY0PAL._SY300_.jpg#http://static-resources.goodguide.net/images/entities/large/336432.jpg,null
28429a29-160e-4914-a613-1e36966d0fc7,L'Oreal,Radiance Perfector Sheer Tint Moisturizer,1.7 oz,Skin Care,71249138793,71249138793,,Avobenzone#Octisalate#Octocrylene ;: Water#Cyclopentasiloxane#Glycerin#Petrolatum#Myristyl Myristate#Butyrospermum Parkii (Shea Butter)#Peg 100 Stearate#Glyceryl Stearate#Poly C10 30 Alkyl Acrylate#Capryloyl Salicylic Acid#Ascorbyl Glucoside#Hydroxyapatite#Calcium Pantetheine Sulfonate#Hydrolyzed Soy Protein#Soluble Collagen#Pentasodium Ethylenediamine Tetramethylene Phosphonate#Triethanolamine#Iron Oxides#Carbomer,,,,,,,,,,,,,,,L'Oréal Group,31,http://ecx.images-amazon.com/images/I/413CvighCcL._SL500_AA300_.jpg#http://img01.static-nextag.com/image/L-Oreal-Age-Perfect/10/000/009/284/313/928431334.jpg,null
91e6386d-db97-45d2-8ac8-024a76f68093,Essie,Nail Color Polish Like Linen,0.46 fl oz; 13.5 ml,Nail Makeup,95008000152,95008000152,,,,,,,,,,,,,,,,,L'Oréal Group,7.99,http://ecx.images-amazon.com/images/I/31qkYiEgr-L._SL500_AA300_.jpg,null
a9bc26a0-8afd-430d-87d4-a96f66979677,L'Oreal,Paris Ideal Moisture Normal Skin Sunscreen Lotion SPF 25,4 fl oz lb lb,Skin Care,71249239810,71249239810,,Avobenzone 3#Homosalate 5#Octisalate 5#Octocrylene 5% Water#Glycerin#Dimethicone#Polyglyceryl-3 Methylglucose Distearate#Aluminum Starch Octenylsuccinate#Peg-100 Stearate#Stearic Acid#Glyceryl Stearate#Sodium Hydroxide#Palmitic Acid#Ammonium Polyacryloyldimethyl Taurate#Disodium Edta#Caprylyl Glycol#Xanthan Gum#Cetyl Alcohol#Tocopheryl Acetate#Phenoxyethanol#Chlorhexidine Digluconate#Fragrance,,,,,,,,,,,,,,,L'Oréal Group,6.83,http://i.walmartimages.com/i/p/00/07/12/49/23/0007124923981_500X500.jpg#http://pics1.ds-static.com/prodimg/461941/300.JPG#http://www.myotcstore.com/store/i/is.aspx?path=/images/L-productimages/LorealSkincare/dryskin_863266.jpg,null
20cd75b0-70d7-4e3c-97b7-6a21a936735a,L'Oreal,Bare Naturale Gentle Mineral Blush 490 Sugar Plum,0.15 oz,Face Makeup,71249123478,71249123478,,Talc#Boron Nitride#Dimethicone#Carnauba#Carnauba Wax#Cetyl Dimethicone Trimethylsiloxysilicate#Triisocetyl Citrate#May Contain: Mica#Ci77891/Titanium Dioxide#Ci77163/Bismuth Oxychloride#Ci77492#Ci77491/Iron Oxides#Ci77007/Ultramarines#Ci75470/Carmine#Ci73360/Red 30,,,,,,,,,,,,,,,L'Oréal Group,11.96,http://ak.buy.com/PI/0/500/216036801.jpg#http://ct.mywebgrocer.com/legacy/productimagesroot/DJ/2/596402.jpg#http://ecx.images-amazon.com/images/I/51cNoYclWqL._SY300_.jpg#http://i.walmartimages.com/i/p/00/07/12/49/12/0007124912347_300X300.jpg#http://img01.static-nextag.com/image/L-Oreal-Bare-Naturale/10/000/007/412/144/741214467.jpg#http://static-resources.goodguide.net/images/entities/large/264223.jpg#http://www.myotcstore.com/store/i/is.aspx?path=/images/L-productimages/LorealFaceMakeup/ALLK26803.jpg#http://www.parfumery.com/pictures/large/071249123478.jpg,null
49f8ee90-f5dd-495a-b718-62269486fa9d,Maybelline,Dream Mousse Eye Shadow 50 Lilac Cloud,0.12 oz; 3.5 g,Eye & Eyebrow Makeup,41554525458,41554525458,,,,,,,,,,,,,,,,,L'Oréal Group,3.99,http://ecx.images-amazon.com/images/I/41YG3Ti56aL._SL500_AA300_.jpg,null
338d6106-688a-4154-8c94-59b2d10e576f,Shu Uemura,White Recovery Ex+ Instant Spot Brightener,,Face Cleansers & Scrubs,1.04E+11,1.04E+11,,,,,,,,,,,,,,,,,L'Oréal Group,59.5,http://static-resources.goodguide.net/images/entities/large/313967.jpg,null
aab6dc74-587d-4459-b2a3-10c663fef34f,Garnier,Daily Targeted Deep Wrinkle Treatment,1 oz,Skin Care,6.03E+11,6.03E+11,,Aqua/Water#Glycerin#Squalane#Butyrospermum Parkii (Shea Butter)#Cyclohexasiloxane#Poly C10 30 Alkyl Acrylate#Aluminum Starch Octenylsuccinate#Cera Alba/Beeswax#Retinyl Palmitate (Vitamin A)#Rosa Canina Fruit Oil (Omega 3+6)#Hydroxypropyl Tetrahydropyrantriol (Glyco-Nutrient Complex)#Zingiber Officinalis (Ginger Root Extract) (Glyco-Nutrient Complex)#Tocopheryl Acetate#Acrylates C10 30 Alkyl Acrylate Crosspolymer#Ci 77891 (Titanium Dioxide)#Cyclopentasiloxane#Dimethiconol,,,,,,,,,,,,,,,L'Oréal Group,5.19,http://ct.mywebgrocer.com/legacy/productimagesroot/DJ/4/821624.jpg#http://ecx.images-amazon.com/images/I/414dauNrr2L._SL500_AA300_.jpg#http://static-resources.goodguide.net/images/entities/large/426746.jpg#http://www.myotcstore.com/store/i/is.aspx?path=/images/G-productimages/GarnierNutrisse/GarnierNutrisinite_AXQK16738.jpg,null
27b6f11b-838b-4edc-8bbd-f8363ce83673,L'Oreal,Loreal Paris Excellence Cremelights,1 application,Hair Color,71249105108,71249105108,,,,,,,,,,,,,,,,,L'Oréal Group,,http://ecx.images-amazon.com/images/I/4111w28w5UL._SL500_AA300_.jpg,null
fadd67c3-77f3-4457-9bf2-d1e8d8d8e760,L'Oreal,Loreal Paris Color Pulse Concentrated Color Mousse Cool Blonde,1 application,Hair Color,71249013601,71249013601,,Aqua/Water#Laureth-12#Behentrimonium Chloride#Dimethyl Ether#Cetearyl Alcohol#Isobutane#Glycol Distearate#Amodimethicone#Butane#Parfum/Fragrance#Propane#Hydroxyethylcellulose#Sodium Lauryl Sulfate#Trideceth-12#Methylparaben#Hc Yellow No#Linalool#Hexyl Cinnamal#3-Nitro-p-Hydroxyethylaminophenol#Hc Red No#Benzyl Alcohol#Amyl Cinnamal#Cetrimonium Chloride#Butylparaben#Ethylparaben#4-Amino-3-Nitrophenol#Isobutylparaben#Propylparaben,,,,,,,,,,,,,,,L'Oréal Group,9.99,http://ecx.images-amazon.com/images/I/21McyEdTsXL.jpg,null
10335017-8c6f-4e78-814f-7a24664f22dc,Essie,Spring '06 Collection Fiji,0.5 fl oz; 15 ml,Nail Makeup,80348000078,80348000078,8034878,Contains No Formaldehyde#DBP Or Toluene,,,,,,,,,,,,,,,L'Oréal Group,4,http://ecx.images-amazon.com/images/I/21QCcW9p-AL._AA300_.jpg#http://s7d2.scene7.com/is/image/Drugstore/481839?wid=300&hei=300&op_sharpen=1,null
